Avg_Fscore,optimizer,learning_rate,hidden_layers,Epochs Run,Fscore,Time_taken,GUID
"0,6009411764705883", SGD/lr,0.0124," (Dense;44.000000,relu);(Dropout;0.500000,);(Dense;2.000000,softmax)",9, [0.58;0.63],2.4359760284423833,2950cebe-d5f4-4634-84f5-361d611362be
"0,3333333333333333", SGD/lr,0.0517," (Dense;299.000000,relu);(Dropout;0.100000,);(Dense;2.000000,relu)",6, [0.67;0.  ],2.4923725128173833,e6fb5fdf-675e-4bae-aa0c-4a2269e21fb7
"0,3333333333333333", Adam/lr,0.0841," (Dense;148.000000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)",6, [0.67;0.  ],2.717198848724365,24f03614-17e1-44a0-beee-66d1470ac642
"0,6444310897435899", Adam/lr,0.0007," (Dense;85.000000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)",27, [0.63;0.66],3.900017499923706,ec4882bc-cfb6-4215-ae46-4380273f41ec
"0,3333333333333333", SGD/lr,0.0803," (Dense;261.000000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)",6, [0.67;0.  ],3.084156274795532,3f5369f2-22b2-432c-a802-2187ae2f3d0c
"0,3333333333333333", Adam/lr,0.0662," (Dense;166.000000,relu);(Dropout;0.300000,);(Dense;2.000000,relu)",10, [0.67;0.  ],2.9687838554382324,d8e3b2c7-cc08-4bb4-9f81-06333b676410
"0,3333333333333333", Adam/lr,0.0723," (Dense;145.000000,relu);(Dropout;0.500000,);(Dense;2.000000,relu)",11, [0.67;0.  ],3.141533374786377,df6fc6b7-fee6-47ec-87de-a84e04cecd7d
"0,5943509615384615", Adam/lr,0.0532," (Dense;88.000000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)",12, [0.61;0.58],2.298248052597046,57b7558b-4de4-4067-bf58-992ccb3e55e0
"0,6098445041564146", SGD/lr,0.0255," (Dense;242.000000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)",10, [0.58;0.64],2.2943761348724365,0d6ed225-a9d9-458b-bb0c-559ee9db274b
"0,3333333333333333", Adam/lr,0.0366," (Dense;49.000000,softmax);(Dropout;0.400000,);(Dense;2.000000,relu)",6, [0.67;0.  ],1.7929127216339111,eb3dab66-11fe-46fe-9d91-c12632102c39
"0,5383522727272727", Adam/lr,0.0705," (Dense;69.000000,relu);(Dropout;0.500000,);(Dense;2.000000,softmax)",9, [0.59;0.48],1.9329817295074463,785e4f7c-5dcc-4a13-9db2-9a1cde40ee00
"0,5598563874269833", Adam/lr,0.0986," (Dense;78.000000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)",8, [0.53;0.59],1.8605451583862305,bf0a57f0-3545-4faf-af75-31cf8fc03812
"0,5799054787327148", Adam/lr,0.087," (Dense;84.000000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)",9, [0.59;0.57],1.9583480358123782,fb2a9f78-97ea-4764-9dbb-7f748b253ade
"0,6255317010033992", SGD/lr,0.0955," (Dense;77.000000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)",49, [0.6 ;0.65],4.455552339553833,ed6d299a-49c0-4df2-8064-cabbf5eafed5
